species,chao2result
Aspilapteryx_tringipennella,"[1]   1 NaN NaN
"
Leucospilapteryx_omissella,"[1]  3.000000  2.119088 10.397140
"
Phyllonorycter_AlnuscordataItaly,"[1]   1 NaN NaN
"
Phyllonorycter_kuhlweiniella,"[1]   1 NaN NaN
"
Phyllonorycter_spinicolella,"[1]   1 NaN NaN
"
Phyllonorycter_ulmifoliella,"[1]   1 NaN NaN
"
Phyllonorycter_hilarella,"[1]   1 NaN NaN
"
Caloptilia_elongella,"[1]   1 NaN NaN
"
Phyllonorycter_trifasciella,"[1]   1 NaN NaN
"
Parornix_torquillella,"[1]   1 NaN NaN
"
Phyllonorycter_nicellii,"[1]   1 NaN NaN
"
Phyllocnistis_xenia,"[1]   1 NaN NaN
"
Dialectica_imperialella,"[1]   1 NaN NaN
"
Phyllonorycter_acerifoliella,"[1]   1 NaN NaN
"
Phyllonorycter_abrasella,"[1]   1 NaN NaN
"
Cameraria_ohridella,"[1]   1 NaN NaN
"
Phyllonorycter_alpina,"[1]  3.000000  2.119088 10.397140
"
Caloptilia_flava,"[1]   1 NaN NaN
"
Phyllonorycter_corylifoliella,"[1] 21.000000  9.299057 74.201298
"
Parornix_polygrammella,"[1]   1 NaN NaN
"
Aristaea_pavoniella,"[1]   1 NaN NaN
"
Triberta_helianthemella,"[1] 2.500000 2.044625 7.602229
"
Parornix_loganella,"[1]   1 NaN NaN
"
Phyllonorycter_issikii,"[1]   1 NaN NaN
"
Caloptilia_staintoni,"[1]  6.00000  3.49384 21.22453
"
Caloptilia_cuculipennella,"[1]   1 NaN NaN
"
Phyllocnistis_unipunctella,"[1]   1 NaN NaN
"
Phyllonorycter_muelleriella,"[1]   1 NaN NaN
"
Caloptilia_braccatella,"[1] 2.500000 2.044625 7.602229
"
Povolnya_leucapennella,"[1]   1 NaN NaN
"
